playlist_position,video_id,published_at,privacy_status,title_family,is_target_default,normalized_timestamp,old_title,old_description,current_hero,current_boss,current_series,mode,hero_name,boss_name,series_name,verification_status,verification_reason,stt_confidence,stt_raw,final_title,final_description,needs_review,apply,review_notes,pair_score
10,IXuGi20KpEE,2026-04-03T21:06:38Z,public,formatted_book_of_heroes,FALSE,,Kel'Thuzad vs Wee Whelp – Book of Heroes | Hearthstone | Adventure Mode,"Kel'Thuzad vs Wee Whelp – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Kel'Thuzad vs Wee Whelp boss fight
[2026 03 21T00 36 01]",Kel'Thuzad,Wee Whelp,Book of Heroes,other_adventures,Kel'Thuzad,Wee Whelp,Adventure Mode,verified_match,current_title_matches_trusted_matchup,high,you,Kel'Thuzad vs Wee Whelp – Adventure Mode | Hearthstone | Adventure Mode,"Hearthstone Adventure Mode gameplay from Adventure Mode.

Featuring the Kel'Thuzad vs Wee Whelp encounter.

Part of the Hearthstone adventure playlist.",FALSE,TRUE,auto_apply_mass_v6,22
11,l9Hwj7yjiB0,2026-04-03T21:05:43Z,public,formatted_book_of_heroes,FALSE,,Kel'Thuzad vs Overseer Mogark – Book of Heroes | Hearthstone | Adventure Mode,"Kel'Thuzad vs Overseer Mogark – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Kel'Thuzad vs Overseer Mogark boss fight
[2026 03 21T01 00 35]",Kel'Thuzad,Overseer Mogark,Book of Heroes,other_adventures,Kel'Thuzad,Overseer Mogark,Adventure Mode,verified_match,current_title_matches_trusted_matchup,high,you,Kel'Thuzad vs Overseer Mogark – Adventure Mode | Hearthstone | Adventure Mode,"Hearthstone Adventure Mode gameplay from Adventure Mode.

Featuring the Kel'Thuzad vs Overseer Mogark encounter.

Part of the Hearthstone adventure playlist.",FALSE,TRUE,auto_apply_mass_v6,22
12,2kqySc-UjzE,2026-04-03T21:04:36Z,public,formatted_book_of_heroes,FALSE,,Kel'Thuzad vs Frostfur – Book of Heroes | Hearthstone | Adventure Mode,"Kel'Thuzad vs Frostfur – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Kel'Thuzad vs Frostfur boss fight
[2026 03 21T01 04 59]",Kel'Thuzad,Frostfur,Book of Heroes,other_adventures,Kel'Thuzad,Frostfur,Adventure Mode,verified_match,current_title_matches_trusted_matchup,high,you,Kel'Thuzad vs Frostfur – Adventure Mode | Hearthstone | Adventure Mode,"Hearthstone Adventure Mode gameplay from Adventure Mode.

Featuring the Kel'Thuzad vs Frostfur encounter.

Part of the Hearthstone adventure playlist.",FALSE,TRUE,auto_apply_mass_v6,22
13,CwgkAkywKAc,2026-04-03T21:03:21Z,public,formatted_book_of_heroes,FALSE,,Medivh vs Graves the Cleric – Book of Heroes | Hearthstone | Adventure Mode,"Medivh vs Graves the Cleric – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Medivh vs Graves the Cleric boss fight
[2026 03 20T21 59 31]",Medivh,Graves the Cleric,Book of Heroes,other_adventures,Medivh,Graves the Cleric,Adventure Mode,verified_match,current_title_matches_trusted_matchup,high,you,Medivh vs Graves the Cleric – Adventure Mode | Hearthstone | Adventure Mode,"Hearthstone Adventure Mode gameplay from Adventure Mode.

Featuring the Medivh vs Graves the Cleric encounter.

Part of the Hearthstone adventure playlist.",FALSE,TRUE,auto_apply_mass_v6,22
14,EuBxw_lUu7o,2026-04-03T21:02:45Z,public,formatted_book_of_heroes,FALSE,,Kel'Thuzad vs A.F.Kay – Book of Heroes | Hearthstone | Adventure Mode,"Kel'Thuzad vs A.F.Kay – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Kel'Thuzad vs A.F.Kay boss fight
[2026 03 20T22 03 47]",Kel'Thuzad,A.F.Kay,Book of Heroes,other_adventures,Kel'Thuzad,Wee Whelp,Adventure Mode,needs_update,trusted_matchup_differs_from_current_title|confidence=medium|pair_score=11|metadata_conflicts_pair,medium,you,Kel'Thuzad vs Wee Whelp – Adventure Mode | Hearthstone | Adventure Mode,"Hearthstone Adventure Mode gameplay from Adventure Mode.

Featuring the Kel'Thuzad vs Wee Whelp encounter.

Part of the Hearthstone adventure playlist.",TRUE,FALSE,metadata_conflict_do_not_auto_apply,11
15,0RLkRyvAnN0,2026-04-03T21:01:45Z,public,formatted_book_of_heroes,FALSE,,Opera Diva Tamsim vs Overseer Mogark – Book of Heroes | Hearthstone | Adventure Mode,"Opera Diva Tamsim vs Overseer Mogark – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Opera Diva Tamsim vs Overseer Mogark boss fight
[2026 03 20T11 25 02]",Opera Diva Tamsim,Overseer Mogark,Book of Heroes,,,,Adventure Mode,uncertain,"insufficient_match_data|confidence=low|pair_score=0|transcript=|metadata=opera diva tamsin,overseer mogark",low,you,Opera Diva Tamsim vs Overseer Mogark – Book of Heroes | Hearthstone | Adventure Mode,"Opera Diva Tamsim vs Overseer Mogark – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Opera Diva Tamsim vs Overseer Mogark boss fight
[2026 03 20T11 25 02]",TRUE,FALSE,risky_inference_do_not_auto_apply,0
16,7qVVfpFCHKw,2026-04-03T20:59:09Z,public,other,FALSE,,Hearthstone [Heroes of Warcraft] Book of Heroes -N'Zoth vs Waxmancer Sturmi,"Hearthstone [Heroes of Warcraft] Book of Heroes -N'Zoth vs Waxmancer Sturmi – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Hearthstone [Heroes of Warcraft] Book of Heroes -N'Zoth vs Waxmancer Sturmi boss fight
[2026 03 20T11 32 07]",,,,,,,Adventure Mode,uncertain,insufficient_match_data|confidence=low|pair_score=0|transcript=|metadata=n'zoth,low,you,Hearthstone [Heroes of Warcraft] Book of Heroes -N'Zoth vs Waxmancer Sturmi,"Hearthstone [Heroes of Warcraft] Book of Heroes -N'Zoth vs Waxmancer Sturmi – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Hearthstone [Heroes of Warcraft] Book of Heroes -N'Zoth vs Waxmancer Sturmi boss fight
[2026 03 20T11 32 07]",TRUE,FALSE,risky_inference_do_not_auto_apply,0
17,vOP5ZpdYSl8,2026-04-03T20:56:39Z,public,formatted_book_of_heroes,FALSE,,Nemesis Gul'dan vs Spiritseeker Azun – Book of Heroes | Hearthstone | Adventure Mode,"Nemesis Gul'dan vs Spiritseeker Azun – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Nemesis Gul'dan vs Spiritseeker Azun boss fight
[2026 03 20T11 38 39]",Nemesis Gul'dan,Spiritseeker Azun,Book of Heroes,other_adventures,Nemesis Gul'dan,Opera Diva Tamsin,Adventure Mode,needs_update,trusted_matchup_differs_from_current_title|confidence=medium|pair_score=11|metadata_conflicts_pair,medium,you,Nemesis Gul'dan vs Opera Diva Tamsin – Adventure Mode | Hearthstone | Adventure Mode,"Hearthstone Adventure Mode gameplay from Adventure Mode.

Featuring the Nemesis Gul'dan vs Opera Diva Tamsin encounter.

Part of the Hearthstone adventure playlist.",TRUE,FALSE,metadata_conflict_do_not_auto_apply,11
18,y9iPmdU3lew,2026-04-03T20:55:44Z,public,formatted_book_of_heroes,FALSE,,Opera Diva Tamsim vs George and Karl – Book of Heroes | Hearthstone | Adventure Mode,"Opera Diva Tamsim vs George and Karl – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Opera Diva Tamsim vs George and Karl boss fight
[2026 03 20T11 45 05]",Opera Diva Tamsim,George and Karl,Book of Heroes,,,,Adventure Mode,uncertain,"insufficient_match_data|confidence=low|pair_score=0|transcript=|metadata=opera diva tamsin,George and Karl",low,you,Opera Diva Tamsim vs George and Karl – Book of Heroes | Hearthstone | Adventure Mode,"Opera Diva Tamsim vs George and Karl – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Opera Diva Tamsim vs George and Karl boss fight
[2026 03 20T11 45 05]",TRUE,FALSE,risky_inference_do_not_auto_apply,0
19,tZQvPGDoeWY,2026-04-03T20:44:34Z,public,formatted_book_of_heroes,FALSE,,Nemesis Gul'dan vs Blackseed – Book of Heroes | Hearthstone | Adventure Mode,"Nemesis Gul'dan vs Blackseed – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Nemesis Gul'dan vs Blackseed boss fight
[2026 03 20T17 30 21]",Nemesis Gul'dan,Blackseed,Book of Heroes,other_adventures,Nemesis Gul'dan,Opera Diva Tamsin,Adventure Mode,needs_update,trusted_matchup_differs_from_current_title|confidence=medium|pair_score=11|metadata_conflicts_pair,medium,you,Nemesis Gul'dan vs Opera Diva Tamsin – Adventure Mode | Hearthstone | Adventure Mode,"Hearthstone Adventure Mode gameplay from Adventure Mode.

Featuring the Nemesis Gul'dan vs Opera Diva Tamsin encounter.

Part of the Hearthstone adventure playlist.",TRUE,FALSE,metadata_conflict_do_not_auto_apply,11
20,geG7UIecHdw,2026-04-03T20:43:41Z,public,formatted_book_of_heroes,FALSE,,Mecha Jaraxxus vs Xol the Unscathed – Book of Heroes | Hearthstone | Adventure Mode,"Mecha Jaraxxus vs Xol the Unscathed – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Mecha Jaraxxus vs Xol the Unscathed boss fight
[2026 03 20T20 04 14]",Mecha Jaraxxus,Xol the Unscathed,Book of Heroes,,,,Adventure Mode,uncertain,insufficient_match_data|confidence=none|pair_score=0|transcript=|metadata=,none,you,Mecha Jaraxxus vs Xol the Unscathed – Book of Heroes | Hearthstone | Adventure Mode,"Mecha Jaraxxus vs Xol the Unscathed – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Mecha Jaraxxus vs Xol the Unscathed boss fight
[2026 03 20T20 04 14]",TRUE,FALSE,risky_inference_do_not_auto_apply,0
21,B1f-lB3W_SI,2026-04-03T20:42:50Z,public,formatted_book_of_heroes,FALSE,,King Rastakhan vs Wee Whelp – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs Wee Whelp – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs Wee Whelp boss fight
[2026 03 20T20 12 40]",King Rastakhan,Wee Whelp,Book of Heroes,other_adventures,King Rastakhan,Giant Rat,Adventure Mode,needs_update,trusted_matchup_differs_from_current_title|confidence=low|pair_score=7|metadata_conflicts_pair,low,you,King Rastakhan vs Giant Rat – Adventure Mode | Hearthstone | Adventure Mode,"Hearthstone Adventure Mode gameplay from Adventure Mode.

Featuring the King Rastakhan vs Giant Rat encounter.

Part of the Hearthstone adventure playlist.",TRUE,FALSE,metadata_conflict_do_not_auto_apply,7
22,MJOAVcYW1rw,2026-04-03T20:42:01Z,public,formatted_book_of_heroes,FALSE,,King Rastakhan vs Frostfur – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs Frostfur – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs Frostfur boss fight
[2026 03 20T20 15 06]",King Rastakhan,Frostfur,Book of Heroes,other_adventures,King Rastakhan,Giant Rat,Adventure Mode,needs_update,trusted_matchup_differs_from_current_title|confidence=low|pair_score=7|metadata_conflicts_pair,low,you,King Rastakhan vs Giant Rat – Adventure Mode | Hearthstone | Adventure Mode,"Hearthstone Adventure Mode gameplay from Adventure Mode.

Featuring the King Rastakhan vs Giant Rat encounter.

Part of the Hearthstone adventure playlist.",TRUE,FALSE,metadata_conflict_do_not_auto_apply,7
23,x1MzjBAyWoc,2026-04-03T20:39:04Z,public,formatted_book_of_heroes,FALSE,,King Rastakhan vs Graves the Cleric – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs Graves the Cleric – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs Graves the Cleric boss fight
[2026 03 20T20 17 31]",King Rastakhan,Graves the Cleric,Book of Heroes,other_adventures,King Rastakhan,Giant Rat,Adventure Mode,needs_update,trusted_matchup_differs_from_current_title|confidence=low|pair_score=7|metadata_conflicts_pair,low,you,King Rastakhan vs Giant Rat – Adventure Mode | Hearthstone | Adventure Mode,"Hearthstone Adventure Mode gameplay from Adventure Mode.

Featuring the King Rastakhan vs Giant Rat encounter.

Part of the Hearthstone adventure playlist.",TRUE,FALSE,metadata_conflict_do_not_auto_apply,7
24,eQm75ixBqKo,2026-04-03T20:38:14Z,public,formatted_book_of_heroes,FALSE,,N'Zoth vs Frostfur – Book of Heroes | Hearthstone | Adventure Mode,"N'Zoth vs Frostfur – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the N'Zoth vs Frostfur boss fight
[2026 03 20T11 20 19]",N'Zoth,Frostfur,Book of Heroes,,,,Adventure Mode,uncertain,"insufficient_match_data|confidence=low|pair_score=0|transcript=|metadata=frostfur,n'zoth",low,you,N'Zoth vs Frostfur – Book of Heroes | Hearthstone | Adventure Mode,"N'Zoth vs Frostfur – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the N'Zoth vs Frostfur boss fight
[2026 03 20T11 20 19]",TRUE,FALSE,risky_inference_do_not_auto_apply,0
25,VeIKj4JN1Zk,2026-04-03T20:37:25Z,public,formatted_book_of_heroes,FALSE,,King Rastakhan vs Wee Whelp – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs Wee Whelp – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs Wee Whelp boss fight
[2026 03 20T20 35 09]",King Rastakhan,Wee Whelp,Book of Heroes,other_adventures,King Rastakhan,Giant Rat,Adventure Mode,needs_update,trusted_matchup_differs_from_current_title|confidence=low|pair_score=7|metadata_conflicts_pair,low,you,King Rastakhan vs Giant Rat – Adventure Mode | Hearthstone | Adventure Mode,"Hearthstone Adventure Mode gameplay from Adventure Mode.

Featuring the King Rastakhan vs Giant Rat encounter.

Part of the Hearthstone adventure playlist.",TRUE,FALSE,metadata_conflict_do_not_auto_apply,7
26,CoeCbvtqDMg,2026-03-31T03:09:42Z,public,formatted_book_of_heroes,FALSE,,Garrosh of Wrath vs Elder Brandlemar – Book of Heroes | Hearthstone | Adventure Mode,"Garrosh of Wrath vs Elder Brandlemar – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Garrosh of Wrath vs Elder Brandlemar boss fight
[2026 03 15T23 23 35]",Garrosh of Wrath,Elder Brandlemar,Book of Heroes,book_of_heroes,Garrosh,Greatmother Geyah,Book of Heroes,needs_update,trusted_matchup_differs_from_current_title|confidence=low|pair_score=7|metadata_conflicts_pair,low,"Farming on outside countries are sketchy. Oh, yeah, they are good. They just like plant wherever they don't even have to eat the land. They just plant wherever it starts and start growing. And you're like, no, this is not...",Garrosh vs Greatmother Geyah – Book of Heroes | Hearthstone | Adventure Mode,"Hearthstone Book of Heroes gameplay from Adventure Mode.

Featuring the Garrosh vs Greatmother Geyah encounter.

Part of the Hearthstone adventure playlist.",TRUE,FALSE,metadata_conflict_do_not_auto_apply,7
27,hpW4xpmC_P0,2026-03-31T03:48:44Z,public,formatted_book_of_heroes,FALSE,,Garrosh of Wrath vs Seriona – Book of Heroes | Hearthstone | Adventure Mode,"Garrosh of Wrath vs Seriona – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Garrosh of Wrath vs Seriona boss fight
[2026 03 15T23 40 09]",Garrosh of Wrath,Seriona,Book of Heroes,book_of_heroes,Garrosh,Greatmother Geyah,Book of Heroes,needs_update,trusted_matchup_differs_from_current_title|confidence=low|pair_score=7|metadata_conflicts_pair,low,"They have good skin. Oh, they all have amazing skin, bro. He's trying to fuck.",Garrosh vs Greatmother Geyah – Book of Heroes | Hearthstone | Adventure Mode,"Hearthstone Book of Heroes gameplay from Adventure Mode.

Featuring the Garrosh vs Greatmother Geyah encounter.

Part of the Hearthstone adventure playlist.",TRUE,FALSE,metadata_conflict_do_not_auto_apply,7
28,m0baO1ZepIY,2026-03-31T03:47:52Z,public,formatted_book_of_heroes,FALSE,,Garrosh of Wrath vs Kraxx – Book of Heroes | Hearthstone | Adventure Mode,"Garrosh of Wrath vs Kraxx – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Garrosh of Wrath vs Kraxx boss fight
[2026 03 15T23 45 44]",Garrosh of Wrath,Kraxx,Book of Heroes,book_of_heroes,Garrosh,Greatmother Geyah,Book of Heroes,needs_update,trusted_matchup_differs_from_current_title|confidence=low|pair_score=7|metadata_conflicts_pair,low,Oh man. So this is all probably like two dollars. This is like two bucks. Same concept therein as this except I have rice paper and all these different meats.,Garrosh vs Greatmother Geyah – Book of Heroes | Hearthstone | Adventure Mode,"Hearthstone Book of Heroes gameplay from Adventure Mode.

Featuring the Garrosh vs Greatmother Geyah encounter.

Part of the Hearthstone adventure playlist.",TRUE,FALSE,metadata_conflict_do_not_auto_apply,7
